"Stadium","Year","Spectator Count","Duration of Game","Stadium Capacity","Capacity Percentage"
"American Family Field",2021,38597,169,41900,92.12
"American Family Field",2023,33089,165,41900,78.97
"American Family Field",2022,25671,169,41900,61.27
"American Family Field",2021,30063,186,41900,71.75
"American Family Field",2024,36017,165,41900,85.96
"American Family Field",2023,27318,163,41900,65.2
"American Family Field",2023,22320,151,41900,53.27
"American Family Field",2021,20126,214,41900,48.03
"American Family Field",2021,24844,170,41900,59.29
"American Family Field",2024,34028,170,41900,81.21
"American Family Field",2024,37518,138,41900,89.54
"American Family Field",2023,24900,164,41900,59.43
"American Family Field",2023,27048,151,41900,64.55
"American Family Field",2021,28656,180,41900,68.39
"American Family Field",2022,20790,175,41900,49.62
"American Family Field",2023,26466,148,41900,63.16
"American Family Field",2024,39637,151,41900,94.6
"American Family Field",2022,34768,190,41900,82.98
"American Family Field",2023,31965,143,41900,76.29
"American Family Field",2023,36528,187,41900,87.18
"American Family Field",2023,38688,153,41900,92.33
"American Family Field",2024,26695,152,41900,63.71
"American Family Field",2022,37376,163,41900,89.2
"American Family Field",2023,27551,193,41900,65.75
"American Family Field",2023,22535,200,41900,53.78
"American Family Field",2023,33366,175,41900,79.63
"American Family Field",2023,30657,180,41900,73.17
"American Family Field",2021,17127,198,41900,40.88
"American Family Field",2021,12058,217,41900,28.78
"American Family Field",2021,29635,177,41900,70.73
"American Family Field",2021,20545,189,41900,49.03
"American Family Field",2021,10595,235,41900,25.29
"American Family Field",2022,34837,193,41900,83.14
"American Family Field",2021,10621,165,41900,25.35
"American Family Field",2021,25016,189,41900,59.7
"American Family Field",2022,27986,186,41900,66.79
"American Family Field",2022,19611,182,41900,46.8
"American Family Field",2022,28910,194,41900,69
"American Family Field",2022,32166,196,41900,76.77
"American Family Field",2024,37111,170,41900,88.57
"American Family Field",2024,35068,162,41900,83.69
"American Family Field",2022,36011,249,41900,85.95
"American Family Field",2021,11740,254,41900,28.02
"American Family Field",2021,35388,196,41900,84.46
"American Family Field",2023,23201,145,41900,55.37
"American Family Field",2023,35428,149,41900,84.55
