"Stadium_Name","Year","Spectator_Count","Game_Length"
"Gocheok Sky Dome",2024,15952,185
"Gocheok Sky Dome",2024,15928,222
"Chase Field",2024,49011,157
"Great American Ballpark",2024,44030,138
"Dodger Stadium",2024,52667,143
"Marlins Park",2024,32564,204
"Petco Park",2024,44953,154
"Oriole Park at Camden Yards",2024,45029,163
"Guaranteed Rate Field;U.S. Cellular Field",2024,33420,123
"Minute Maid Park",2024,42642,161
"Kauffman Stadium",2024,38775,149
"Oakland-Alameda County Coliseum",2024,13522,142
"Safeco Field",2024,45337,165
"Tropicana Field",2024,25025,153
"Globe Life Field in Arlington",2024,42130,195
"Chase Field",2024,29480,156
"Dodger Stadium",2024,47524,143
"Marlins Park",2024,13636,170
"Citi Field",2024,42137,148
"Citizens Bank Park",2024,44452,174
"Petco Park",2024,45427,145
"Minute Maid Park",2024,41583,197
"Oakland-Alameda County Coliseum",2024,3837,159
"Safeco Field",2024,30013,144
"Tropicana Field",2024,18653,148
"Chase Field",2024,32133,197
"Great American Ballpark",2024,39674,175
"Dodger Stadium",2024,45019,197
"Marlins Park",2024,14203,158
"Citi Field",2024,30296,170
"Citizens Bank Park",2024,44468,178
"Petco Park",2024,37104,184
"Oriole Park at Camden Yards",2024,28420,175
"Guaranteed Rate Field;U.S. Cellular Field",2024,28176,185
"Minute Maid Park",2024,41247,174
"Kauffman Stadium",2024,19461,161
"Oakland-Alameda County Coliseum",2024,5425,181
"Safeco Field",2024,32149,166
"Tropicana Field",2024,18905,164
"Globe Life Field in Arlington",2024,37570,152
"Chase Field",2024,21824,142
"Great American Ballpark",2024,13590,170
"Dodger Stadium",2024,41014,161
"Marlins Park",2024,15915,181
"Citi Field",2024,22222,163
"Citizens Bank Park",2024,42515,159
"Petco Park",2024,34499,163
"Oriole Park at Camden Yards",2024,20576,139
"Guaranteed Rate Field;U.S. Cellular Field",2024,17478,161
"Minute Maid Park",2024,36908,176
"Kauffman Stadium",2024,13005,145
"Oakland-Alameda County Coliseum",2024,4118,150
"Safeco Field",2024,29331,152
"Tropicana Field",2024,14875,167
"Globe Life Field in Arlington",2024,32078,182
"Chase Field",2024,38608,179
"Wrigley Field",2024,40072,146
"Dodger Stadium",2024,49044,158
"Marlins Park",2024,9411,172
"Citi Field",2024,16853,166
"Citizens Bank Park",2024,33754,184
"Petco Park",2024,37566,165
"Nationals Park",2024,40405,191
"Oriole Park at Camden Yards",2024,12666,155
"Guaranteed Rate Field;U.S. Cellular Field",2024,13781,149
"Minute Maid Park",2024,27285,121
"Oakland-Alameda County Coliseum",2024,6618,151
"Safeco Field",2024,21322,155
"Tropicana Field",2024,14144,154
"Chase Field",2024,39863,147
"Wrigley Field",2024,26555,157
"Dodger Stadium",2024,49365,177
"Marlins Park",2024,9033,138
"Miller Park",2024,41659,144
"Citizens Bank Park",2024,28119,164
"Petco Park",2024,43076,143
"Oriole Park at Camden Yards",2024,9404,137
"Guaranteed Rate Field;U.S. Cellular Field",2024,12300,141
"Minute Maid Park",2024,28811,148
"Oakland-Alameda County Coliseum",2024,5112,184
